GivenName	Surname	Gender	City	StateFull	ZipCode	TelephoneNumber	Birthday	BloodType
Olivie	Busque	female	NOUMÉA	Île-de-France	98800	03 04 74 60 02	4/15/2000	O+
Rosemarie	Bernier	female	MONTCEAU-LES-MINES	Bourgogne	71300	03 36 19 14 14	2/8/1999	AB+
Christiane	Croteau	female	ALBI	Midi-Pyrénées	81000	05 72 84 11 33	12/27/1947	O+
Faustin	Tisserand	male	SAINT-NAZAIRE	Pays de la Loire	44600	02 72 56 23 59	10/9/1982	A+
Blanche	Royer	female	BASTIA	Corse	20600	04 16 84 49 12	10/18/1982	O+
Tearlach	Bellemare	male	CHÂTEAUROUX	Centre	36000	02 02 94 81 76	12/31/1990	O+
Mariette	Jobin	female	ALFORTVILLE	Île-de-France	94140	01 34 01 69 32	3/11/1968	O+
Sennet	Royer	male	CASTRES	Midi-Pyrénées	81100	05 29 39 09 27	1/26/1955	B+
Royden	Veronneau	male	MENDE	Languedoc-Roussillon	48000	04 98 37 09 65	9/11/1966	B+
Tabor	Duval	male	SCHOELCHER	Martinique	97233	05 49 15 64 37	10/15/1977	B+
Brigitte	Saindon	female	FONTAINE	Rhône-Alpes	38600	04 78 59 30 94	1/26/2001	B+
Martine	Lafontaine	female	LE BOUSCAT	Aquitaine	33110	05 04 60 11 81	10/22/1938	O+
Artus	Brunelle	male	LE MOULE	Guadeloupe	97160	05 95 12 89 44	11/16/1992	O+
Paul	Jalbert	male	BAGNOLET	Île-de-France	93170	01 45 91 42 02	12/15/1943	B+
Roslyn	Foucault	male	SAINT-GERMAIN-EN-LAYE	Île-de-France	78100	01 72 78 28 83	3/28/1950	B+
Babette	Gaillard	female	AMIENS	Picardie	80080	03 69 35 72 68	1/7/1970	A+
Christelle	Douffet	female	GAP	Provence-Alpes-Côte d'Azur	5000	04 43 59 15 73	11/3/1988	B+
Fabien	Bureau	male	LES ULIS	Île-de-France	91940	01 74 81 93 18	1/12/1983	B-
Gustave	Parenteau	male	SAINT-MALO	Bretagne	35400	02 02 45 19 49	11/20/1984	B+
Laetitia	Tétrault	female	RIS-ORANGIS	Île-de-France	91000	01 03 51 90 67	4/20/1972	B+
Arienne	Lécuyer	female	COLOMBES	Île-de-France	92700	01 77 25 24 01	9/18/1956	AB+
Xavierre	Lauzier	female	BAGNEUX	Île-de-France	92220	01 54 81 66 31	5/13/1987	A+
Agathe	Pinneau	female	SAINT-GERMAIN-EN-LAYE	Île-de-France	78100	01 60 26 59 85	4/21/1947	B+
Ranger	Laprise	male	CHARENTON-LE-PONT	Île-de-France	94220	01 80 38 65 81	5/20/1965	O-
Camille	Charbonneau	female	ORLY	Île-de-France	94310	01 68 76 43 04	2/27/1940	A-
Varden	Busson	male	CLERMONT-FERRAND	Auvergne	63100	04 49 49 10 73	10/31/1989	O+
Carole	Ricard	female	MONT-DE-MARSAN	Aquitaine	40000	05 00 71 81 27	10/21/1994	O+
Fleur	Poissonnier	female	VICHY	Auvergne	3200	04 81 23 75 80	9/24/1995	B+
Brice	Tardif	male	LYON	Rhône-Alpes	69003	04 37 09 32 94	5/26/1966	O+
Didiane	Martin	female	VOIRON	Rhône-Alpes	38500	04 08 31 02 38	3/10/1943	A+
Yvette	Bourgeau	female	BREST	Bretagne	29200	02 75 76 62 27	8/2/1939	O+
Maryse	Patenaude	female	TALENCE	Aquitaine	33400	05 54 35 42 02	1/12/1978	A+
Seymour	Barrière	male	MONTÉLIMAR	Rhône-Alpes	26200	04 97 08 24 82	3/21/1998	B+
Platt	Pariseau	male	BÈGLES	Aquitaine	33130	05 74 47 26 29	1/26/1938	O+
Frédérique	Bordeaux	female	MAMOUDZOU	Mayotte	97600	02 87 99 84 50	10/12/1973	B+
Patricia	Pelchat	female	JOUÉ-LÈS-TOURS	Centre	37300	02 28 66 24 55	1/20/1993	O+
Anton	Rouleau	male	COGNAC	Poitou-Charentes	16100	05 09 17 41 84	4/3/1942	A+
Monique	Patenaude	female	CAVAILLON	Provence-Alpes-Côte d'Azur	84300	04 52 15 22 45	3/12/1986	A+
Auda	Mailloux	female	BOURG-EN-BRESSE	Rhône-Alpes	1000	04 21 09 32 79	4/7/1989	A+
Clothilde	Casgrain	female	CLICHY	Île-de-France	92110	01 59 92 78 99	11/11/1995	A+
Christelle	Monrency	female	PARIS	Île-de-France	75005	01 97 63 16 63	6/4/1991	O+
Jacqueline	Gousse	female	CACHAN	Île-de-France	94230	01 52 96 59 72	9/3/1992	O+
Emmeline	Lécuyer	female	NEVERS	Bourgogne	58000	03 29 26 48 42	2/23/1959	A+
Tristan	Sarrazin	male	STRASBOURG	Alsace	67100	03 39 09 67 17	5/15/1937	B+
Amabella	Beaudoin	female	MARSEILLE	Provence-Alpes-Côte d'Azur	13014	04 96 38 95 98	12/16/1957	B+
Thibaut	Bourgeois	male	MOULINS	Auvergne	3000	04 86 66 47 41	8/28/1942	AB+
Victorine	Bellemare	female	BAGNEUX	Île-de-France	92220	01 58 97 47 61	12/31/1961	AB+
Burkett	Dumoulin	male	VILLENEUVE-SUR-LOT	Aquitaine	47300	05 46 40 03 13	3/16/1987	B-
Marphisa	Bazinet	female	CLAMART	Île-de-France	92140	01 54 40 50 99	12/4/1958	O+
Marthe	David	female	VALENCE	Rhône-Alpes	26000	04 79 87 52 23	11/8/2000	O+
Benjamin	Grivois	male	VILLENEUVE-SUR-LOT	Aquitaine	47300	05 18 25 58 07	1/21/1947	O+
Flordelis	Lussier	female	MULHOUSE	Alsace	68200	03 45 37 23 71	8/25/1978	AB+
Chandler	Abril	male	RENNES	Bretagne	35000	02 38 56 20 38	5/26/1976	O+
Sophie	Poisson	female	SAINT-GERMAIN-EN-LAYE	Île-de-France	78100	01 50 68 58 83	7/13/1999	A-
Annot	Provencher	female	BRUAY-LA-BUISSIÈRE	Nord-Pas-de-Calais	62700	02 19 96 34 75	9/22/1935	AB+
Grégoire	Therrien	male	CALUIRE-ET-CUIRE	Rhône-Alpes	69300	04 25 21 88 46	2/22/1943	B+
Adorlee	Neufville	female	SAVIGNY-SUR-ORGE	Île-de-France	91600	01 12 23 96 87	2/18/1942	B+
Sylvie	Fréchette	female	MULHOUSE	Alsace	68100	03 12 16 41 74	8/10/1969	B-
Alexandrin	D'Avis	female	ANGOULÊME	Poitou-Charentes	16000	05 50 39 46 02	2/27/1993	A+
Tearlach	Rhéaume	male	ÉTAMPES	Île-de-France	91150	01 47 85 23 32	7/23/1938	B+
Sydney	Gilbert	female	ANGERS	Pays de la Loire	49000	02 31 71 04 20	1/21/1955	O+
Gaetane	Landry	female	SAINT-SÉBASTIEN-SUR-LOIRE	Pays de la Loire	44230	02 66 47 41 90	10/28/1960	B+
Apolline	Simard	female	PARIS	Île-de-France	75004	01 94 46 29 32	3/26/1943	B+
La Roux	Proulx	female	SAINT-LOUIS	Guyane	97450	02 45 74 32 14	8/4/1996	O+
Christian	Guay	male	NEUILLY-SUR-MARNE	Île-de-France	93330	01 53 87 88 81	8/30/1968	A+
Falerina	Lécuyer	female	ÉPINAY-SUR-SEINE	Île-de-France	93800	01 63 73 94 51	6/25/1938	B+
Yves	Déziel	male	OLIVET	Centre	45160	02 87 16 07 15	12/22/1938	A+
Honoré	Chartré	male	HAGUENAU	Alsace	67500	03 85 03 40 63	3/23/1992	B+
Véronique	L'Hiver	female	RAMBOUILLET	Île-de-France	78120	01 05 03 22 53	6/8/2000	B+
Andrée	Paradis	female	PARIS	Île-de-France	75013	01 14 01 88 07	11/28/1978	O+
Amarante	Aubin	female	LIMOGES	Limousin	87100	05 16 18 75 25	9/25/1979	A+
Iven	Bouchard	male	STRASBOURG	Alsace	67100	03 36 43 42 93	8/19/1978	O+
Paulette	Chabot	female	GRANDE-SYNTHE	Nord-Pas-de-Calais	59760	02 19 62 31 66	2/6/1973	B+
Melisande	Perreault	female	PARIS	Île-de-France	75009	01 46 33 39 42	4/1/1962	O+
Ruby	Dastous	female	LA SEYNE-SUR-MER	Provence-Alpes-Côte d'Azur	83500	04 19 54 26 64	7/12/1935	A-
Onfroi	Bourget	male	PARIS	Île-de-France	75004	01 62 58 58 03	1/24/1938	A+
Émile	Laurent	male	VIRY-CHÂTILLON	Île-de-France	91170	01 36 31 51 89	1/11/1988	A+
Melville	Brasseur	male	WATTRELOS	Nord-Pas-de-Calais	59150	03 97 07 97 89	2/1/1974	A+
Harbin	L'Anglais	male	PARIS	Île-de-France	75008	01 13 04 81 70	2/12/1997	O+
Aubine	Varieur	female	METZ	Lorraine	57070	03 60 45 15 70	7/1/1987	B+
Afrodille	Thériault	female	RUEIL-MALMAISON	Île-de-France	92500	01 27 03 08 45	3/20/1939	O+
Falerina	Paré	female	AULNAY-SOUS-BOIS	Île-de-France	93600	01 75 01 31 06	12/18/1952	O+
Karel	Leblanc	male	COURBEVOIE	Île-de-France	92400	01 45 72 01 28	3/7/1980	B+
Alexis	Chauvin	male	CAVAILLON	Provence-Alpes-Côte d'Azur	84300	04 80 74 20 95	10/14/1943	B+
Fleurette	Mailhot	female	TARBES	Midi-Pyrénées	65000	05 98 52 64 86	12/15/1979	A+
Millicent	Benjamin	female	LE BOUSCAT	Aquitaine	33110	05 40 69 66 31	6/14/1981	A+
Cinderella	Mailloux	female	GENNEVILLIERS	Île-de-France	92230	01 04 62 30 72	1/4/1971	O+
Garland	Plouffe	male	FORT-DE-FRANCE	Martinique	97234	05 06 06 86 00	9/21/1963	O+
Marshall	Beaulieu	male	ABBEVILLE	Picardie	80100	03 57 40 96 47	2/23/1936	A+
Soren	Boisclair	male	STRASBOURG	Alsace	67200	03 53 01 41 41	4/20/1976	A+
Eulalie	Martineau	female	MÂCON	Bourgogne	71000	03 68 75 14 72	6/17/1942	B+
Louis	Boileau	male	LYON	Rhône-Alpes	69002	04 48 46 90 87	5/12/1960	O+
Catherine	Daigle	female	GRENOBLE	Rhône-Alpes	38100	04 57 21 86 53	1/14/1961	O+
Algernon	Bernier	male	ARMENTIÈRES	Nord-Pas-de-Calais	59280	03 14 44 01 91	3/30/1986	O+
Paul	Morin	male	TOULOUSE	Midi-Pyrénées	31500	05 94 58 10 04	9/13/1999	A+
Thibaut	Coudert	male	CLERMONT-FERRAND	Auvergne	63000	04 91 79 36 77	8/21/1954	B+
Mason	Rancourt	male	BÈGLES	Aquitaine	33130	05 25 81 68 03	9/27/1937	B+
Laurence	Marleau	female	PARIS	Île-de-France	75003	01 12 41 63 30	3/5/1981	A+
Julien	Bériault	male	TORCY	Île-de-France	77200	01 64 16 03 74	6/5/1998	B+
Gustave	Ruest	male	MARSEILLE	Provence-Alpes-Côte d'Azur	13004	04 30 93 38 56	7/27/1990	O-
Peppin	Séguin	male	NICE	Provence-Alpes-Côte d'Azur	6100	04 35 15 11 74	9/29/1973	A+
Eloise	Bergeron	female	CAVAILLON	Provence-Alpes-Côte d'Azur	84300	04 51 50 05 12	7/7/1992	B+
Fitz	Quirion	male	SAINTE-ANNE	Guadeloupe	97180	05 16 10 50 29	11/20/1990	B+
Lothair	Barrette	male	PARIS	Île-de-France	75009	01 88 40 22 76	12/30/1987	AB+
Garland	Dodier	female	LYON	Rhône-Alpes	69003	04 31 40 07 74	2/20/1975	B+
Anastasie	Bélair	female	ORVAULT	Pays de la Loire	44700	02 82 94 52 30	6/28/1977	O+
Jay	Pichette	male	SAINT-DIÉ	Lorraine	88100	03 10 18 17 40	2/4/1961	AB+
Camille	Bureau	female	NÎMES	Languedoc-Roussillon	30900	04 42 57 99 76	10/27/1936	A+
Belisarda	Leclair	female	ANNECY	Rhône-Alpes	74000	04 73 67 40 33	10/23/1946	B+
Geoffrey	DeGrasse	male	CONCARNEAU	Bretagne	29900	02 28 51 73 48	4/21/1958	B+
Hortense	Laux	female	SOTTEVILLE-LÈS-ROUEN	Haute-Normandie	76300	02 26 71 45 16	1/21/1959	B+
Alice	Josseaume	female	METZ	Lorraine	57000	03 60 95 38 79	8/17/1959	A+
Fitz	Voisine	male	VAULX-EN-VELIN	Rhône-Alpes	69120	04 04 48 11 89	11/1/1990	O+
Michel	Briard	male	ANTONY	Île-de-France	92160	01 65 14 90 61	12/30/1948	B+
Alaine	Deserres	female	VOIRON	Rhône-Alpes	38500	04 50 58 74 41	12/13/1957	B+
Alita	Ailleboust	female	ÉPERNAY	Champagne-Ardenne	51200	03 57 70 22 45	10/24/1997	O+
Corette	Gauthier	female	BLAGNAC	Midi-Pyrénées	31700	05 69 29 05 86	3/21/1963	O-
Vail	Cinq-Mars	male	VILLEFRANCHE-SUR-SAÔNE	Rhône-Alpes	69400	04 08 86 18 43	3/13/1983	A+
Frédérique	Dodier	female	HAZEBROUCK	Nord-Pas-de-Calais	59190	03 31 99 18 16	12/30/1944	A+
Granville	Rocher	male	ROMANS-SUR-ISÈRE	Rhône-Alpes	26100	04 31 79 70 52	8/28/1987	B+
Laurence	D'Avis	female	OYONNAX	Rhône-Alpes	1100	04 38 23 29 33	5/19/1963	B+
Zacharie	Proulx	male	TOURNEFEUILLE	Midi-Pyrénées	31170	05 36 93 26 81	3/10/1993	B+
Timothée	Lacroix	male	SARCELLES	Île-de-France	95200	01 57 06 91 90	10/5/1981	O+
Melisande	Larivière	female	MARSEILLE	Provence-Alpes-Côte d'Azur	13005	04 95 79 46 30	11/24/2000	O+
Ruby	Michel	female	VILLEMOMBLE	Île-de-France	93250	01 99 65 40 02	7/29/1946	O+
Auda	Barrière	female	MELUN	Île-de-France	77000	01 70 20 63 36	11/8/1961	A+
Lance	Mousseau	male	BEZONS	Île-de-France	95870	01 67 45 53 27	5/9/1935	A-
Andrée	Lachapelle	female	TULLE	Limousin	19000	05 91 37 07 93	7/5/1984	O+
Lirienne	Franchet	female	SOISSONS	Picardie	2200	03 49 01 47 33	1/18/1954	O+
Allyriane	Veilleux	female	STRASBOURG	Alsace	67200	03 66 02 29 23	11/23/1934	B+
Fanchon	Lefèbvre	female	DIGNE-LES-BAINS	Provence-Alpes-Côte d'Azur	4000	04 20 53 46 28	3/11/1937	AB+
Christian	Fremont	male	WATTRELOS	Nord-Pas-de-Calais	59150	03 57 07 61 33	6/4/1944	A+
Victor	Brian	male	NICE	Provence-Alpes-Côte d'Azur	6200	04 28 70 40 48	6/24/1956	A+
Favor	Labonté	female	LYON	Rhône-Alpes	69002	04 30 58 04 02	3/12/1967	A+
Marguerite	Franchet	female	LILLE	Nord-Pas-de-Calais	59000	03 86 03 49 93	1/13/1995	AB-
Blanche	Plante	female	MARSEILLE	Provence-Alpes-Côte d'Azur	13009	04 69 44 81 48	1/18/1974	B+
Louise	Gagnon	female	BOULOGNE-SUR-MER	Nord-Pas-de-Calais	62200	03 04 80 17 17	5/25/1996	AB+
Élisabeth	Salois	female	VILLENEUVE-D'ASCQ	Nord-Pas-de-Calais	59493	03 36 59 03 75	2/27/1947	A+
Sidney	Cousteau	male	NANTES	Pays de la Loire	44300	02 89 78 79 79	6/18/1955	O+
Voleta	Royer	female	LORIENT	Bretagne	56100	02 37 07 03 24	1/22/1957	O+
Demi	Auclair	female	BASTIA	Corse	20200	04 04 79 55 52	7/25/1970	AB+
Eleanor	Morel	female	LE PLESSIS-ROBINSON	Île-de-France	92350	01 55 53 97 55	2/8/1999	B+
Caresse	Charrette	female	PARIS	Île-de-France	75016	01 11 36 44 94	6/29/1998	A+
Laurene	Grivois	female	MONTAUBAN	Midi-Pyrénées	82000	05 55 82 54 85	10/3/1951	AB+
Millicent	Garnier	female	FRESNES	Île-de-France	94260	01 69 95 48 14	5/28/1994	O-
Travers	Melanson	male	PLAISIR	Île-de-France	78370	01 92 44 86 16	11/9/1941	O+
Etoile	Chalut	female	DRAGUIGNAN	Provence-Alpes-Côte d'Azur	83300	04 60 54 82 34	6/19/1958	A+
Burrell	Deserres	male	AGEN	Aquitaine	47000	05 00 30 68 37	8/14/1937	A+
Amélie	Charlesbois	female	LE ROBERT	Martinique	97231	05 55 76 86 90	1/16/1956	A+
Gano	Longpré	male	NANCY	Lorraine	54100	03 27 55 55 89	2/7/1989	B+
Grosvenor	Langlais	male	PARIS	Île-de-France	75008	01 15 66 86 06	7/2/1946	O+
Agrican	Bizier	male	LA VARENNE-SAINT-HILAIRE	Île-de-France	94210	01 27 61 98 73	4/29/1944	A+
Bruno	Champagne	male	MEUDON	Île-de-France	92190	01 59 91 32 90	9/18/1967	O+
Alain	Labonté	male	LUNÉVILLE	Lorraine	54300	03 76 73 41 39	1/24/1986	B+
Marthe	Martel	female	CALAIS	Nord-Pas-de-Calais	62100	03 26 46 12 44	2/18/2001	A+
Sabine	Doiron	female	FRANCONVILLE-LA-GARENNE	Île-de-France	95130	01 39 25 13 99	7/17/1936	O+
Frontino	Marois	male	BEAUNE	Bourgogne	21200	03 89 02 67 16	9/12/1989	O+
Elita	Fongemie	female	MONTBÉLIARD	Franche-Comté	25200	03 47 66 45 35	10/14/1986	A+
Allyriane	Crête	female	BOURG-EN-BRESSE	Rhône-Alpes	1000	04 57 70 21 56	6/29/1942	B+
Cécile	Quenneville	female	LA GARDE	Provence-Alpes-Côte d'Azur	83130	04 53 60 02 38	8/6/1945	O+
Jeannine	Brunault	female	TARBES	Midi-Pyrénées	65000	05 02 05 70 27	7/30/1990	O-
Richard	Laforest	male	VERTOU	Pays de la Loire	44120	02 94 01 41 82	6/1/1983	A+
Philippe	Leduc	male	FORBACH	Lorraine	57600	03 37 05 47 38	5/31/1989	A+
Merle	Berie	male	ROUEN	Haute-Normandie	76100	02 83 70 78 37	4/29/1957	A+
Saville	Laisné	male	MALAKOFF	Île-de-France	92240	01 59 66 80 75	1/10/1945	A+
Moore	Larivière	male	DIJON	Bourgogne	21000	03 42 74 88 13	9/3/1972	O+
Charlot	Jomphe	male	SCHOELCHER	Martinique	97233	05 77 44 40 86	6/24/1972	A-
Lucas	St-Pierre	male	SAVIGNY-SUR-ORGE	Île-de-France	91600	01 12 88 54 77	2/4/1972	O-
Karel	Lachapelle	male	LE MANS	Pays de la Loire	72100	02 16 41 34 26	3/22/1937	A-
Agathe	Hétu	female	RODEZ	Midi-Pyrénées	12000	05 31 77 37 58	4/21/1988	A+
Lorraine	Garnier	female	SAINT-RAPHAËL	Provence-Alpes-Côte d'Azur	83700	04 77 04 73 57	9/7/1951	O+
Telford	Asselin	male	CHÂTEAUROUX	Centre	36000	02 96 85 77 80	8/2/1952	B-
Jolie	Brian	female	PARIS	Île-de-France	75014	01 40 52 80 50	10/20/1959	O+
Benoît	Grandpré	male	BESANÇON	Franche-Comté	25000	03 57 19 01 76	9/12/1973	A+
Vincent	Provencher	male	ISSY-LES-MOULINEAUX	Île-de-France	92130	01 95 82 49 07	10/5/1993	B+
Anton	Marcoux	male	MARSEILLE	Provence-Alpes-Côte d'Azur	13013	04 04 48 32 67	12/18/1944	A+
Paulette	Perrault	female	LA MADELEINE	Nord-Pas-de-Calais	59110	03 09 68 11 76	5/25/1965	O+
Alain	Des Meaux	male	GRIGNY	Île-de-France	91350	01 42 17 93 18	7/24/1982	O+
Louise	Labrecque	female	PARIS	Île-de-France	75014	01 16 75 50 07	4/3/1988	O+
Tilly	Arsenault	female	FONTENAY-SOUS-BOIS	Île-de-France	94120	01 15 36 24 79	9/8/1962	A+
Gabrielle	Batard	female	SAINT-ÉTIENNE	Rhône-Alpes	42100	04 63 59 93 01	5/17/1959	A+
Ruby	de Brisay	female	SAINTE-MARIE	Guyane	97438	05 94 13 11 42	1/9/1986	AB+
Arno	Faure	male	BRUAY-LA-BUISSIÈRE	Nord-Pas-de-Calais	62700	02 63 27 28 60	1/8/1960	A+
Albertine	Bourassa	female	LE MÉE-SUR-SEINE	Île-de-France	77350	01 68 21 55 59	7/5/1971	A+
Fletcher	Grimard	male	MULHOUSE	Alsace	68100	03 71 36 88 16	9/14/1988	B+
Hugues	Dubois	male	CARCASSONNE	Languedoc-Roussillon	11000	04 33 37 89 05	11/15/1965	O+
Delmare	Busson	female	DOUAI	Nord-Pas-de-Calais	59500	03 93 44 60 77	1/31/1958	B+
Brie	Racine	female	ILLKIRCH-GRAFFENSTADEN	Alsace	67400	03 50 52 81 80	6/30/1995	A+
Melusina	Lépicier	female	PALAISEAU	Île-de-France	91120	01 76 08 69 68	11/28/1984	A+
Demi	Lang	female	SAINT-LEU	Guyane	97436	02 10 19 34 20	9/14/1987	A+
Stéphane	Loiseau	male	LE PETIT-QUEVILLY	Haute-Normandie	76140	02 93 94 50 15	3/20/1959	B+
Daniel	Lamour	male	DÉCINES-CHARPIEU	Rhône-Alpes	69150	04 50 38 76 81	10/10/1993	A+
Jeanette	Labonté	female	YERRES	Île-de-France	91330	01 20 37 94 83	5/21/1939	A+
Robert	Charbonneau	male	PARIS	Île-de-France	75009	01 92 56 73 59	7/25/2000	B+
Édith	Gervais	female	TAVERNY	Île-de-France	95150	01 14 58 37 23	8/12/1949	A-
Roxanne	Perreault	female	DIEPPE	Haute-Normandie	76200	02 72 23 91 50	10/25/1943	A-
Julie	Baril	female	SAINT-QUENTIN	Picardie	2100	03 25 05 01 06	11/7/1934	A-
Mayhew	Gervais	male	LA POSSESSION	La Réunion	97419	02 42 07 45 28	10/19/1987	A+
Anne	Gaillard	female	PARIS	Île-de-France	75005	01 08 20 67 85	1/19/1939	A-
Brigitte	Sirois	female	PARIS	Île-de-France	75018	01 24 39 70 32	2/11/2000	B+
Christelle	Lanctot	female	TOULOUSE	Midi-Pyrénées	31200	05 94 04 69 14	6/21/1975	A+
Charlot	Fresne	male	MEAUX	Île-de-France	77100	01 38 70 04 40	3/26/1971	O+
Charles	Gaudreau	male	VILLEURBANNE	Rhône-Alpes	69100	04 62 63 74 19	2/19/1938	A+
Melodie	Mailly	female	HYÈRES	Provence-Alpes-Côte d'Azur	83400	04 92 84 16 50	6/25/1942	B+
Searlait	Parmentier	female	LUNÉVILLE	Lorraine	54300	03 79 56 01 42	10/10/1953	O+
Tearlach	Barteaux	male	BAR-LE-DUC	Lorraine	55000	03 97 19 68 15	4/25/1985	O+
Arnaude	Allard	female	LONGJUMEAU	Île-de-France	91160	01 82 00 00 67	7/30/1961	B+
Senior	Lamy	male	PARIS	Île-de-France	75009	01 69 91 91 20	1/22/1950	B+
Daniel	Houde	male	SARTROUVILLE	Île-de-France	78500	01 66 84 19 26	3/18/1984	B+
Manville	Desroches	male	NANCY	Lorraine	54100	03 83 01 11 77	8/13/1971	O+
Edmee	Dubeau	female	GRANDE-SYNTHE	Nord-Pas-de-Calais	59760	02 00 74 11 80	3/24/2001	B+
